file,class,method,variable,usage
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous2,"compare/2[PetShop,PetShop]",distancia2,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous2,"compare/2[PetShop,PetShop]",pet1,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous2,"compare/2[PetShop,PetShop]",pet2,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous2,"compare/2[PetShop,PetShop]",distancia1,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,verificarDiaSemana/1[java.lang.String],diaSemana,2
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,verificarDiaSemana/1[java.lang.String],data,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,verificarDiaSemana/1[java.lang.String],formatoData,0
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,verificarDiaSemana/1[java.lang.String],formatoDiaSemana,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,verificarDiaSemana/1[java.lang.String],dataTexto,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,validarData/1[java.lang.String],date,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,validarData/1[java.lang.String],data,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,validarData/1[java.lang.String],e,0
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,validarData/1[java.lang.String],dataVerificacao,2
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,"PetShop/3[java.lang.String,int,int]",quantidadeCaesPequenos,2
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,"PetShop/3[java.lang.String,int,int]",data,2
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\PetShop.java,PetShop,"PetShop/3[java.lang.String,int,int]",quantidadeCaesGrandes,2
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\ChowChawgas.java,ChowChawgas,"ChowChawgas/3[java.lang.String,int,int]",quantidadeCaesPequenos,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\ChowChawgas.java,ChowChawgas,"ChowChawgas/3[java.lang.String,int,int]",data,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\ChowChawgas.java,ChowChawgas,"ChowChawgas/3[java.lang.String,int,int]",quantidadeCaesGrandes,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MainTest.java,MainTest,testAjustaPrecoInvalidData/0,petShop,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MainTest.java,MainTest,testAjustaPrecoComDesconto/0,petShop,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MainTest.java,MainTest,testAjustaPrecoSemDesconto/0,petShop,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],comparadorPorDistancia,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],quantidadeCaesPequenos,4
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],data,3
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],dados,4
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],e,2
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],quantidadeCaesGrandes,4
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],args,0
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],petShops,11
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],entrada,2
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],distancias,8
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],resposta,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],comparadorPorPreco,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main,main/1[java.lang.String[]],continuar,2
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MeuCaninoFeliz.java,MeuCaninoFeliz,ajustaPreco/0,e,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MeuCaninoFeliz.java,MeuCaninoFeliz,"MeuCaninoFeliz/3[java.lang.String,int,int]",quantidadeCaesPequenos,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MeuCaninoFeliz.java,MeuCaninoFeliz,"MeuCaninoFeliz/3[java.lang.String,int,int]",data,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\MeuCaninoFeliz.java,MeuCaninoFeliz,"MeuCaninoFeliz/3[java.lang.String,int,int]",quantidadeCaesGrandes,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous1,"compare/2[PetShop,PetShop]",pet1,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous1,"compare/2[PetShop,PetShop]",preco1,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous1,"compare/2[PetShop,PetShop]",pet2,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\Main.java,Main$Anonymous1,"compare/2[PetShop,PetShop]",preco2,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\VaiRex.java,VaiRex,"VaiRex/3[java.lang.String,int,int]",quantidadeCaesPequenos,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\VaiRex.java,VaiRex,"VaiRex/3[java.lang.String,int,int]",data,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\VaiRex.java,VaiRex,"VaiRex/3[java.lang.String,int,int]",quantidadeCaesGrandes,1
C:\Users\pedro\IdeaProjects\PetShopsDTI\src\VaiRex.java,VaiRex,ajustaPreco/0,e,1
